shot,seed,method,display_name,true_class,pred_class,count,row_normalized
16,42,baseline_cnn,CNN Baseline,airplane,airplane,208.0,0.8125
16,42,baseline_cnn,CNN Baseline,airplane,ship,23.0,0.08984375
16,42,baseline_cnn,CNN Baseline,airplane,vehicle,21.0,0.08203125
16,42,baseline_cnn,CNN Baseline,airplane,harbor,4.0,0.015625
16,42,baseline_cnn,CNN Baseline,ship,airplane,0.0,0.0
16,42,baseline_cnn,CNN Baseline,ship,ship,236.0,0.921875
16,42,baseline_cnn,CNN Baseline,ship,vehicle,13.0,0.05078125
16,42,baseline_cnn,CNN Baseline,ship,harbor,7.0,0.02734375
16,42,baseline_cnn,CNN Baseline,vehicle,airplane,19.0,0.07421875
16,42,baseline_cnn,CNN Baseline,vehicle,ship,72.0,0.28125
16,42,baseline_cnn,CNN Baseline,vehicle,vehicle,165.0,0.64453125
16,42,baseline_cnn,CNN Baseline,vehicle,harbor,0.0,0.0
16,42,baseline_cnn,CNN Baseline,harbor,airplane,15.0,0.05859375
16,42,baseline_cnn,CNN Baseline,harbor,ship,28.0,0.109375
16,42,baseline_cnn,CNN Baseline,harbor,vehicle,0.0,0.0
16,42,baseline_cnn,CNN Baseline,harbor,harbor,213.0,0.83203125
16,42,hybrid_control,Classical Control,airplane,airplane,209.0,0.81640625
16,42,hybrid_control,Classical Control,airplane,ship,6.0,0.0234375
16,42,hybrid_control,Classical Control,airplane,vehicle,37.0,0.14453125
16,42,hybrid_control,Classical Control,airplane,harbor,4.0,0.015625
16,42,hybrid_control,Classical Control,ship,airplane,1.0,0.00390625
16,42,hybrid_control,Classical Control,ship,ship,220.0,0.859375
16,42,hybrid_control,Classical Control,ship,vehicle,25.0,0.09765625
16,42,hybrid_control,Classical Control,ship,harbor,10.0,0.0390625
16,42,hybrid_control,Classical Control,vehicle,airplane,8.0,0.03125
16,42,hybrid_control,Classical Control,vehicle,ship,36.0,0.140625
16,42,hybrid_control,Classical Control,vehicle,vehicle,210.0,0.8203125
16,42,hybrid_control,Classical Control,vehicle,harbor,2.0,0.0078125
16,42,hybrid_control,Classical Control,harbor,airplane,3.0,0.01171875
16,42,hybrid_control,Classical Control,harbor,ship,7.0,0.02734375
16,42,hybrid_control,Classical Control,harbor,vehicle,12.0,0.046875
16,42,hybrid_control,Classical Control,harbor,harbor,234.0,0.9140625
16,42,hybrid_no_entanglement,QNN No-Ent,airplane,airplane,206.0,0.8046875
16,42,hybrid_no_entanglement,QNN No-Ent,airplane,ship,5.0,0.01953125
16,42,hybrid_no_entanglement,QNN No-Ent,airplane,vehicle,37.0,0.14453125
16,42,hybrid_no_entanglement,QNN No-Ent,airplane,harbor,8.0,0.03125
16,42,hybrid_no_entanglement,QNN No-Ent,ship,airplane,1.0,0.00390625
16,42,hybrid_no_entanglement,QNN No-Ent,ship,ship,224.0,0.875
16,42,hybrid_no_entanglement,QNN No-Ent,ship,vehicle,21.0,0.08203125
16,42,hybrid_no_entanglement,QNN No-Ent,ship,harbor,10.0,0.0390625
16,42,hybrid_no_entanglement,QNN No-Ent,vehicle,airplane,9.0,0.03515625
16,42,hybrid_no_entanglement,QNN No-Ent,vehicle,ship,41.0,0.16015625
16,42,hybrid_no_entanglement,QNN No-Ent,vehicle,vehicle,204.0,0.796875
16,42,hybrid_no_entanglement,QNN No-Ent,vehicle,harbor,2.0,0.0078125
16,42,hybrid_no_entanglement,QNN No-Ent,harbor,airplane,3.0,0.01171875
16,42,hybrid_no_entanglement,QNN No-Ent,harbor,ship,7.0,0.02734375
16,42,hybrid_no_entanglement,QNN No-Ent,harbor,vehicle,9.0,0.03515625
