shot,seed,method,display_name,true_class,pred_class,count,row_normalized
16,42,baseline_cnn,CNN Baseline,airplane,airplane,0.0,0.0
16,42,baseline_cnn,CNN Baseline,airplane,ship,199.0,0.08172484599589322
16,42,baseline_cnn,CNN Baseline,airplane,vehicle,2236.0,0.9182751540041068
16,42,baseline_cnn,CNN Baseline,airplane,harbor,0.0,0.0
16,42,baseline_cnn,CNN Baseline,ship,airplane,0.0,0.0
16,42,baseline_cnn,CNN Baseline,ship,ship,9108.0,0.8209843158464034
16,42,baseline_cnn,CNN Baseline,ship,vehicle,1986.0,0.17901568415359653
16,42,baseline_cnn,CNN Baseline,ship,harbor,0.0,0.0
16,42,baseline_cnn,CNN Baseline,vehicle,airplane,0.0,0.0
16,42,baseline_cnn,CNN Baseline,vehicle,ship,3517.0,0.5385911179173047
16,42,baseline_cnn,CNN Baseline,vehicle,vehicle,3013.0,0.46140888208269526
16,42,baseline_cnn,CNN Baseline,vehicle,harbor,0.0,0.0
16,42,baseline_cnn,CNN Baseline,harbor,airplane,0.0,0.0
16,42,baseline_cnn,CNN Baseline,harbor,ship,784.0,0.969097651421508
16,42,baseline_cnn,CNN Baseline,harbor,vehicle,25.0,0.030902348578491966
16,42,baseline_cnn,CNN Baseline,harbor,harbor,0.0,0.0
16,42,hybrid_control,Classical Control,airplane,airplane,1833.0,0.7527720739219712
16,42,hybrid_control,Classical Control,airplane,ship,97.0,0.03983572895277208
16,42,hybrid_control,Classical Control,airplane,vehicle,395.0,0.162217659137577
16,42,hybrid_control,Classical Control,airplane,harbor,110.0,0.045174537987679675
16,42,hybrid_control,Classical Control,ship,airplane,326.0,0.029385253290066703
16,42,hybrid_control,Classical Control,ship,ship,5543.0,0.4996394447449072
16,42,hybrid_control,Classical Control,ship,vehicle,3373.0,0.30403821885703985
16,42,hybrid_control,Classical Control,ship,harbor,1852.0,0.1669370831079863
16,42,hybrid_control,Classical Control,vehicle,airplane,672.0,0.10290964777947932
16,42,hybrid_control,Classical Control,vehicle,ship,1227.0,0.18790199081163858
16,42,hybrid_control,Classical Control,vehicle,vehicle,4607.0,0.7055130168453293
16,42,hybrid_control,Classical Control,vehicle,harbor,24.0,0.003675344563552833
16,42,hybrid_control,Classical Control,harbor,airplane,6.0,0.007416563658838072
16,42,hybrid_control,Classical Control,harbor,ship,78.0,0.09641532756489493
16,42,hybrid_control,Classical Control,harbor,vehicle,49.0,0.06056860321384425
16,42,hybrid_control,Classical Control,harbor,harbor,676.0,0.8355995055624228
16,42,hybrid_no_entanglement,QNN No-Ent,airplane,airplane,1960.0,0.8049281314168378
16,42,hybrid_no_entanglement,QNN No-Ent,airplane,ship,262.0,0.10759753593429158
16,42,hybrid_no_entanglement,QNN No-Ent,airplane,vehicle,143.0,0.05872689938398357
16,42,hybrid_no_entanglement,QNN No-Ent,airplane,harbor,70.0,0.028747433264887063
16,42,hybrid_no_entanglement,QNN No-Ent,ship,airplane,297.0,0.026771227690643593
16,42,hybrid_no_entanglement,QNN No-Ent,ship,ship,8243.0,0.7430142419325761
16,42,hybrid_no_entanglement,QNN No-Ent,ship,vehicle,1363.0,0.12285920317288625
16,42,hybrid_no_entanglement,QNN No-Ent,ship,harbor,1191.0,0.107355327203894
16,42,hybrid_no_entanglement,QNN No-Ent,vehicle,airplane,848.0,0.12986217457886676
16,42,hybrid_no_entanglement,QNN No-Ent,vehicle,ship,1187.0,0.18177641653905052
16,42,hybrid_no_entanglement,QNN No-Ent,vehicle,vehicle,4477.0,0.685604900459418
16,42,hybrid_no_entanglement,QNN No-Ent,vehicle,harbor,18.0,0.0027565084226646246
16,42,hybrid_no_entanglement,QNN No-Ent,harbor,airplane,7.0,0.00865265760197775
16,42,hybrid_no_entanglement,QNN No-Ent,harbor,ship,32.0,0.03955500618046971
16,42,hybrid_no_entanglement,QNN No-Ent,harbor,vehicle,106.0,0.13102595797280595
16,42,hybrid_no_entanglement,QNN No-Ent,harbor,harbor,664.0,0.8207663782447466
16,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,airplane,airplane,1829.0,0.751129363449692
16,42,hybrid_zz_real_amplitudes,QNN ZZ+RealAmp,airplane,ship,138.0,0.056673511293634495
