shot,seed,method,display_name,true_class,pred_class,count,row_normalized
16,42,baseline_cnn,CNN Baseline,vehicle,vehicle,21.0,0.003357314148681055
16,42,baseline_cnn,CNN Baseline,vehicle,bridge,5616.0,0.897841726618705
16,42,baseline_cnn,CNN Baseline,vehicle,harbor,0.0,0.0
16,42,baseline_cnn,CNN Baseline,vehicle,storagetank,618.0,0.09880095923261391
16,42,baseline_cnn,CNN Baseline,bridge,vehicle,5.0,0.006067961165048544
16,42,baseline_cnn,CNN Baseline,bridge,bridge,796.0,0.9660194174757282
16,42,baseline_cnn,CNN Baseline,bridge,harbor,0.0,0.0
16,42,baseline_cnn,CNN Baseline,bridge,storagetank,23.0,0.027912621359223302
16,42,baseline_cnn,CNN Baseline,harbor,vehicle,0.0,0.0
16,42,baseline_cnn,CNN Baseline,harbor,bridge,1186.0,0.9850498338870431
16,42,baseline_cnn,CNN Baseline,harbor,harbor,0.0,0.0
16,42,baseline_cnn,CNN Baseline,harbor,storagetank,18.0,0.014950166112956811
16,42,baseline_cnn,CNN Baseline,storagetank,vehicle,36.0,0.0076384468491406746
16,42,baseline_cnn,CNN Baseline,storagetank,bridge,1976.0,0.4192658603861659
16,42,baseline_cnn,CNN Baseline,storagetank,harbor,0.0,0.0
16,42,baseline_cnn,CNN Baseline,storagetank,storagetank,2701.0,0.5730956927646934
16,42,hybrid_control,Classical Control,vehicle,vehicle,2310.0,0.36930455635491605
16,42,hybrid_control,Classical Control,vehicle,bridge,2324.0,0.3715427657873701
16,42,hybrid_control,Classical Control,vehicle,harbor,7.0,0.0011191047162270183
16,42,hybrid_control,Classical Control,vehicle,storagetank,1614.0,0.2580335731414868
16,42,hybrid_control,Classical Control,bridge,vehicle,316.0,0.38349514563106796
16,42,hybrid_control,Classical Control,bridge,bridge,377.0,0.4575242718446602
16,42,hybrid_control,Classical Control,bridge,harbor,61.0,0.07402912621359223
16,42,hybrid_control,Classical Control,bridge,storagetank,70.0,0.08495145631067962
16,42,hybrid_control,Classical Control,harbor,vehicle,37.0,0.030730897009966777
16,42,hybrid_control,Classical Control,harbor,bridge,293.0,0.24335548172757476
16,42,hybrid_control,Classical Control,harbor,harbor,839.0,0.696843853820598
16,42,hybrid_control,Classical Control,harbor,storagetank,35.0,0.029069767441860465
16,42,hybrid_control,Classical Control,storagetank,vehicle,812.0,0.17228941226395078
16,42,hybrid_control,Classical Control,storagetank,bridge,105.0,0.022278803309993635
16,42,hybrid_control,Classical Control,storagetank,harbor,5.0,0.0010608953957139827
16,42,hybrid_control,Classical Control,storagetank,storagetank,3791.0,0.8043708890303416
