setting,seed,comparison,method_a,method_b,macro_f1_a,macro_f1_b,delta,winner
transport_logistics4 small_cnn shot16 bblr0.1,42,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.672681,0.578900,0.093781,hybrid_no_entanglement
transport_logistics4 small_cnn shot16 bblr0.1,42,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.608433,0.578900,0.029533,hybrid_zz_real_amplitudes
transport_logistics4 small_cnn shot16 bblr0.1,43,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.272457,0.311274,-0.038817,hybrid_control
transport_logistics4 small_cnn shot16 bblr0.1,43,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.509149,0.311274,0.197876,hybrid_zz_real_amplitudes
transport_logistics4 small_cnn shot16 bblr0.1,44,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.605203,0.479644,0.125559,hybrid_no_entanglement
transport_logistics4 small_cnn shot16 bblr0.1,44,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.619018,0.479644,0.139373,hybrid_zz_real_amplitudes
transport_logistics4 small_cnn shot16 bblr0.1,45,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.589451,0.119719,0.469732,hybrid_no_entanglement
transport_logistics4 small_cnn shot16 bblr0.1,45,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.583272,0.119719,0.463553,hybrid_zz_real_amplitudes
transport_logistics4 small_cnn shot16 bblr0.1,46,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.483354,0.119169,0.364184,hybrid_no_entanglement
transport_logistics4 small_cnn shot16 bblr0.1,46,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.194014,0.119169,0.074845,hybrid_zz_real_amplitudes
transport_logistics4 small_cnn shot16 bblr0.1,47,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.536147,0.235375,0.300771,hybrid_no_entanglement
transport_logistics4 small_cnn shot16 bblr0.1,47,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.252379,0.235375,0.017004,hybrid_zz_real_amplitudes
transport_logistics4 small_cnn shot16 bblr0.1,48,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.362384,0.294227,0.068157,hybrid_no_entanglement
transport_logistics4 small_cnn shot16 bblr0.1,48,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.415452,0.294227,0.121225,hybrid_zz_real_amplitudes
transport_logistics4 small_cnn shot32 bblr0.1,42,hybrid_no_entanglement_vs_hybrid_control,hybrid_no_entanglement,hybrid_control,0.716918,0.692227,0.024690,hybrid_no_entanglement
transport_logistics4 small_cnn shot32 bblr0.1,42,hybrid_zz_real_amplitudes_vs_hybrid_control,hybrid_zz_real_amplitudes,hybrid_control,0.626019,0.692227,-0.066208,hybrid_control
